Year,AHRQ/CCS Condition Category,CCS Category Number,AHRQ Category,Volatility Level,NIPA Dollars,Uncontrolled Dollars,Number of Episodes,Per Capita Index,Medical Care Expenditure Index,Prevalence Index,Per Capita Dollars,Cost Per Case Dollars,Unweighted MEPS Patients,Share MEPS Spending,CCS Chapter Number,CCS Chapter,Chapter Spending (Billions),CCS Category,,Format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Other care and screening_AHRQ,0,Other care and screening_AHRQ,NA,55073519237,41987767447,122478833.8,1,1,1,195.1837562,449.6574432,1770.5,NA,NA,NA,NA,NA,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Other care and screening_AHRQ,0,Other care and screening_AHRQ,NA,64874468006,51557001095,140498868.2,1.166359922,1.070417206,1.089631141,227.6545107,461.7437055,2365.5,NA,NA,NA,NA,NA,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Other care and screening_AHRQ,0,Other care and screening_AHRQ,NA,81932423145,65209300783,156921287.4,1.459436504,1.212176723,1.203979978,284.8582987,522.1243369,3420.5,NA,NA,NA,NA,NA,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Other care and screening_AHRQ,0,Other care and screening_AHRQ,NA,91794581747,72737542449,166042157,1.621114802,1.277845995,1.268630811,316.4152762,552.8390102,3935,NA,NA,NA,NA,NA,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Other care and screening_AHRQ,0,Other care and screening_AHRQ,NA,1.05484E+11,84062132561,167358353.9,1.845712563,1.465180962,1.259716452,360.2531108,630.2883424,3902,NA,NA,NA,NA,NA,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Other care and screening_AHRQ,0,Other care and screening_AHRQ,NA,1.15439E+11,92432107495,182545482.6,2.001372076,1.477032408,1.354995371,390.6353194,632.3860739,3843,NA,NA,NA,NA,NA,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Other care and screening_AHRQ,0,Other care and screening_AHRQ,NA,1.27165E+11,1.01562E+11,191165140,2.183500634,1.54974656,1.408940462,426.1838554,665.208632,3796.5,NA,NA,NA,NA,NA,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Other care and screening_AHRQ,0,Other care and screening_AHRQ,NA,1.43247E+11,1.13373E+11,202102826.4,2.436354101,1.63634427,1.488900683,475.5367449,708.7803284,3677,NA,NA,NA,NA,NA,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Other care and screening_AHRQ,0,Other care and screening_AHRQ,NA,1.53916E+11,1.23647E+11,211232806.5,2.593177119,1.707505244,1.518693502,506.1460506,728.6555648,3820.5,NA,NA,NA,NA,NA,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Other care and screening_AHRQ,0,Other care and screening_AHRQ,NA,1.66908E+11,1.36463E+11,224062293.2,2.787522212,1.776577741,1.569040379,544.0790558,744.9176811,4442,NA,NA,NA,NA,NA,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
